local authority: county / unitary (prior to April 2015),Total,Urban Conurbation,Urban City and Town,Rural Town and Fringe,Rural Village, Hamlet and Isolated Dwelling
Peterborough,183631,0,161879,13618,8134
Southend-on-Sea,173658,0,173658,0,0
Thurrock,157705,105380,32560,16463,3302
Cambridgeshire,621210,0,328577,177303,115330
Essex,1393587,73097,959885,193057,167548
Hertfordshire,1116062,409182,578296,59900,68684
Norfolk,857888,0,429175,181255,247458
Suffolk,728163,0,439442,115731,172990
Camden,220338,220338,0,0,0
City of London,7375,7375,0,0,0
Hackney,246270,245645,0,625,0
Hammersmith and Fulham,182493,182493,0,0,0
Haringey,254926,254926,0,0,0
Islington,206125,206125,0,0,0
Kensington and Chelsea,158649,158649,0,0,0
Lambeth,303086,303086,0,0,0
Lewisham,275885,275885,0,0,0
Newham,307984,307984,0,0,0
Southwark,288283,288283,0,0,0
Tower Hamlets,254096,254096,0,0,0
Wandsworth,306995,306995,0,0,0
Westminster,219396,219396,0,0,0
Barking and Dagenham,185911,185911,0,0,0
Barnet,356386,355633,753,0,0
Bexley,231997,231845,0,0,152
Brent,311215,311215,0,0,0
Bromley,309392,291763,14174,603,2852
Croydon,363378,363378,0,0,0
Ealing,338449,338449,0,0,0
Enfield,312466,309171,1817,0,1478
Greenwich,254557,254557,0,0,0
Harrow,239056,238455,0,0,601
Havering,237232,234684,688,512,1348
Hillingdon,273936,263476,3061,6416,983
Hounslow,253957,253957,0,0,0
Kingston upon Thames,160060,156986,2650,0,424
Merton,199693,199693,0,0,0
Redbridge,278970,278970,0,0,0
Richmond upon Thames,186990,186990,0,0,0
Sutton,190146,189719,427,0,0
Waltham Forest,258249,258249,0,0,0
Bracknell Forest,113205,0,110896,106,2203
Brighton and Hove,273369,0,269051,1004,3314
Isle of Wight,138265,0,93566,26689,18010
Medway,263925,0,235468,20741,7716
Milton Keynes,248821,0,227168,11712,9941
Portsmouth,205056,0,205056,0,0
Reading,155698,0,155230,468,0
Slough,140205,0,140205,0,0
Southampton,236882,0,236882,0,0
West Berkshire,153822,0,96873,23776,33173
Windsor and Maidenhead,144560,389,129210,6849,8112
Wokingham,154380,0,127335,16218,10827
Buckinghamshire,505283,1446,338097,82743,82997
East Sussex,526671,0,389946,48728,87997
Hampshire,1317788,0,1029336,140624,147828
Kent,1463740,183535,875105,203648,201452
Oxfordshire,653798,0,435201,101280,117317
Surrey,1132390,551737,428512,64916,87225
West Sussex,806892,0,615318,101262,90312
Bath and North East Somerset,176016,0,138913,16057,21046
Bournemouth,183491,0,183352,0,139
"Bristol, City of",428234,0,428234,0,0
Cornwall,532273,0,205591,146060,180622
Isles of Scilly,2203,0,0,0,2203
North Somerset,202566,0,165328,13494,23744
Plymouth,256384,0,256384,0,0
Poole,147645,0,147409,0,236
South Gloucestershire,262767,0,228404,13612,20751
Swindon,209156,0,185308,18927,4921
Torbay,130959,0,130197,0,762
Wiltshire,470981,0,247262,87894,135825
Devon,746399,0,362368,180808,203223
Dorset,412905,0,244328,72889,95688
Gloucestershire,596984,0,419967,68772,108245
Somerset,529972,0,274709,101180,154083
Isle of Anglesey,69751,0,11431,24079,34241
Gwynedd,121874,0,17988,47703,56183
Conwy,115228,0,79469,18406,17353
Denbighshire,93734,0,46267,25623,21844
Flintshire,152506,0,105208,19730,27568
Wrexham,134844,0,91054,24963,18827
Powys,132976,0,17911,37006,78059
Ceredigion,75922,0,18749,11689,45484
Pembrokeshire,122439,0,28178,39415,54846
Carmarthenshire,183777,0,89154,29059,65564
Swansea,239023,0,210418,13088,15517
Neath Port Talbot,139812,0,106074,21033,12705
Bridgend,139178,0,106641,24756,7781
Vale of Glamorgan,126336,0,101808,8956,15572
Cardiff,346090,0,340177,4667,1246
Rhondda Cynon Taff,234410,0,175566,52073,6771
Merthyr Tydfil,58802,0,51525,6472,805
Caerphilly,178806,0,140467,31118,7221
Blaenau Gwent,69814,0,60413,7240,2161
Torfaen,91075,0,82822,6960,1293
Monmouthshire,91323,0,48311,16765,26247
Newport,145736,0,128060,12547,5129
